"Plot-Titel: PGK"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21047856, SEN S/N: 21047856, LBL: Celsius)","Intensität, Lux (LGR S/N: 21047856, SEN S/N: 21047856, LBL: Lux)"
121,07.31.22 11:07:09 AM,26.879,5166.7
122,07.31.22 12:07:09 PM,33.953,1550.0
123,07.31.22 01:07:09 PM,31.574,10677.8
124,07.31.22 02:07:09 PM,30.457,9300.1
125,07.31.22 03:07:09 PM,28.754,5166.7
126,07.31.22 04:07:09 PM,32.911,5338.9
127,07.31.22 05:07:09 PM,28.655,2669.5
128,07.31.22 06:07:09 PM,26.977,1636.1
129,07.31.22 07:07:09 PM,26.292,947.2
130,07.31.22 08:07:09 PM,24.931,226.0
131,07.31.22 09:07:09 PM,23.292,0.0
132,07.31.22 10:07:09 PM,22.238,0.0
133,07.31.22 11:07:09 PM,21.760,0.0
134,08.01.22 12:07:09 AM,20.901,0.0
135,08.01.22 01:07:09 AM,21.282,0.0
136,08.01.22 02:07:09 AM,20.805,0.0
137,08.01.22 03:07:09 AM,19.948,0.0
138,08.01.22 04:07:09 AM,19.377,0.0
139,08.01.22 05:07:09 AM,18.616,0.0
140,08.01.22 06:07:09 AM,18.996,441.3
141,08.01.22 07:07:09 AM,19.758,419.8
142,08.01.22 08:07:09 AM,20.710,2152.8
143,08.01.22 09:07:09 AM,20.615,1722.2
144,08.01.22 10:07:09 AM,21.091,882.6
145,08.01.22 11:07:09 AM,22.429,2325.0
146,08.01.22 12:07:09 PM,22.525,1227.1
147,08.01.22 01:07:09 PM,23.100,2152.8
148,08.01.22 02:07:09 PM,22.812,3444.5
149,08.01.22 03:07:09 PM,26.879,4822.3
150,08.01.22 04:07:09 PM,24.255,1054.9
151,08.01.22 05:07:09 PM,25.708,1980.6
152,08.01.22 06:07:09 PM,24.545,2066.7
153,08.01.22 07:07:09 PM,23.484,1356.3
154,08.01.22 08:07:09 PM,21.951,527.4
155,08.01.22 09:07:09 PM,20.710,32.3
156,08.01.22 10:07:09 PM,20.329,0.0
157,08.01.22 11:07:09 PM,19.853,0.0
158,08.02.22 12:07:09 AM,18.996,0.0
159,08.02.22 01:07:09 AM,17.665,0.0
160,08.02.22 02:07:09 AM,17.475,0.0
161,08.02.22 03:07:09 AM,18.331,0.0
162,08.02.22 04:07:09 AM,18.045,0.0
163,08.02.22 05:07:09 AM,17.855,0.0
164,08.02.22 06:07:09 AM,16.713,279.9
165,08.02.22 07:07:09 AM,18.045,914.9
166,08.02.22 08:07:09 AM,18.331,1302.4
167,08.02.22 09:07:09 AM,20.519,2325.0
168,08.02.22 10:07:09 AM,22.621,3961.1
169,08.02.22 11:07:09 AM,25.319,5511.1
170,08.02.22 12:07:09 PM,31.574,12400.1
171,08.02.22 01:07:09 PM,30.760,11022.3
172,08.02.22 02:07:09 PM,29.853,4822.3
173,08.02.22 03:07:09 PM,32.188,9644.5
174,08.02.22 04:07:09 PM,31.064,5166.7
175,08.02.22 05:07:09 PM,28.357,2669.5
176,08.02.22 06:07:09 PM,27.370,2066.7
177,08.02.22 07:07:09 PM,26.390,1270.1
178,08.02.22 08:07:09 PM,23.677,366.0
179,08.02.22 09:07:09 PM,20.996,0.0
180,08.02.22 10:07:09 PM,19.567,0.0
181,08.02.22 11:07:09 PM,19.092,0.0
182,08.03.22 12:07:09 AM,18.806,0.0
183,08.03.22 01:07:09 AM,18.331,0.0
184,08.03.22 02:07:09 AM,17.950,0.0
185,08.03.22 03:07:09 AM,17.855,0.0
186,08.03.22 04:07:09 AM,18.521,0.0
187,08.03.22 05:07:09 AM,18.901,0.0
188,08.03.22 06:07:09 AM,17.760,183.0
189,08.03.22 07:07:09 AM,18.331,699.7
190,08.03.22 08:07:09 AM,21.473,850.4
191,08.03.22 09:07:09 AM,25.222,1550.0
192,08.03.22 10:07:09 AM,28.060,3616.7
193,08.03.22 11:07:09 AM,30.760,5338.9
194,08.03.22 12:07:09 PM,37.274,12400.1
195,08.03.22 01:07:09 PM,37.274,10677.8
196,08.03.22 02:07:09 PM,36.187,8266.7
197,08.03.22 03:07:09 PM,38.379,11022.3
198,08.03.22 04:07:09 PM,36.511,3616.7
199,08.03.22 05:07:09 PM,33.118,1894.5
200,08.03.22 06:07:09 PM,31.778,1463.9
201,08.03.22 07:07:09 PM,31.370,871.9
202,08.03.22 08:07:09 PM,28.060,193.8
203,08.03.22 09:07:09 PM,25.125,0.0
204,08.03.22 10:07:09 PM,23.196,0.0
205,08.03.22 11:07:09 PM,21.951,0.0
206,08.04.22 12:07:09 AM,21.473,0.0
207,08.04.22 01:07:09 AM,21.187,0.0
208,08.04.22 02:07:09 AM,20.424,0.0
209,08.04.22 03:07:09 AM,20.424,0.0
210,08.04.22 04:07:09 AM,19.567,0.0
211,08.04.22 05:07:09 AM,18.711,0.0
212,08.04.22 06:07:09 AM,18.711,129.2
213,08.04.22 07:07:09 AM,20.901,602.8
214,08.04.22 08:07:09 AM,23.004,979.5
215,08.04.22 09:07:09 AM,26.488,1550.0
216,08.04.22 10:07:09 AM,29.752,3272.2
217,08.04.22 11:07:09 AM,33.326,5511.1
218,08.04.22 12:07:09 PM,39.615,10677.8
219,08.04.22 01:07:09 PM,39.843,9300.1
220,08.04.22 02:07:09 PM,38.602,6544.5
221,08.04.22 03:07:09 PM,39.729,7577.8
222,08.04.22 04:07:09 PM,39.163,3272.2
223,08.04.22 05:07:09 PM,36.728,2325.0
224,08.04.22 06:07:09 PM,35.542,1636.1
225,08.04.22 07:07:09 PM,33.639,505.9
226,08.04.22 08:07:09 PM,30.457,172.2
227,08.04.22 09:07:09 PM,26.879,0.0
228,08.04.22 10:07:09 PM,25.125,0.0
229,08.04.22 11:07:09 PM,25.319,0.0
230,08.05.22 12:07:09 AM,24.835,0.0
231,08.05.22 01:07:09 AM,24.062,0.0
232,08.05.22 02:07:09 AM,23.292,0.0
233,08.05.22 03:07:09 AM,22.046,0.0
234,08.05.22 04:07:09 AM,21.187,0.0
235,08.05.22 05:07:09 AM,21.473,0.0
236,08.05.22 06:07:09 AM,21.473,193.8
237,08.05.22 07:07:09 AM,23.004,1270.1
238,08.05.22 08:07:09 AM,24.448,796.5
239,08.05.22 09:07:09 AM,26.488,2583.4
240,08.05.22 10:07:09 AM,25.610,1011.8
241,08.05.22 11:07:09 AM,24.448,1022.6
242,08.05.22 12:07:09 PM,24.545,1054.9
243,08.05.22 01:07:09 PM,22.333,1345.5
244,08.05.22 02:07:09 PM,29.452,4477.8
245,08.05.22 03:07:09 PM,31.574,7233.4
246,08.05.22 04:07:09 PM,30.054,3100.0
247,08.05.22 05:07:09 PM,28.060,785.8
248,08.05.22 06:07:09 PM,25.513,721.2
249,08.05.22 07:07:09 PM,24.062,1636.1
250,08.05.22 08:07:09 PM,20.519,43.1
251,08.05.22 09:07:09 PM,19.187,0.0
252,08.05.22 10:07:09 PM,18.426,0.0
253,08.05.22 11:07:09 PM,17.855,0.0
254,08.06.22 12:07:09 AM,17.094,0.0
255,08.06.22 01:07:09 AM,16.618,0.0
256,08.06.22 02:07:09 AM,15.760,0.0
257,08.06.22 03:07:09 AM,14.804,0.0
258,08.06.22 04:07:09 AM,13.846,0.0
259,08.06.22 05:07:09 AM,13.365,0.0
260,08.06.22 06:07:09 AM,12.594,226.0
261,08.06.22 07:07:09 AM,13.654,527.4
262,08.06.22 08:07:09 AM,14.517,1087.2
263,08.06.22 09:07:09 AM,16.237,1636.1
264,08.06.22 10:07:09 AM,18.426,1194.8
265,08.06.22 11:07:09 AM,19.948,3788.9
266,08.06.22 12:07:09 PM,25.708,15155.7
267,08.06.22 01:07:09 PM,26.292,3272.2
268,08.06.22 02:07:09 PM,27.173,5511.1
269,08.06.22 03:07:09 PM,28.060,3961.1
270,08.06.22 04:07:09 PM,28.060,4994.5
271,08.06.22 05:07:09 PM,24.448,2411.1
272,08.06.22 06:07:09 PM,22.333,1377.8
273,08.06.22 07:07:09 PM,20.901,602.8
274,08.06.22 08:07:09 PM,19.758,204.5
275,08.06.22 09:07:09 PM,17.855,0.0
276,08.06.22 10:07:09 PM,16.141,0.0
277,08.06.22 11:07:09 PM,15.187,0.0
278,08.07.22 12:07:09 AM,14.230,0.0
279,08.07.22 01:07:09 AM,13.654,0.0
280,08.07.22 02:07:09 AM,13.076,0.0
281,08.07.22 03:07:09 AM,12.594,0.0
282,08.07.22 04:07:09 AM,11.916,0.0
283,08.07.22 05:07:09 AM,11.625,0.0
284,08.07.22 06:07:09 AM,11.431,96.9
285,08.07.22 07:07:09 AM,12.883,516.7
286,08.07.22 08:07:09 AM,15.951,1044.1
287,08.07.22 09:07:09 AM,18.426,1636.1
288,08.07.22 10:07:09 AM,20.901,2927.8
289,08.07.22 11:07:09 AM,22.333,1065.6
290,08.07.22 12:07:09 PM,26.097,2669.5
291,08.07.22 01:07:09 PM,25.125,2325.0
292,08.07.22 02:07:09 PM,28.754,10333.4
293,08.07.22 03:07:09 PM,24.835,2411.1
294,08.07.22 04:07:09 PM,25.805,4650.0
295,08.07.22 05:07:09 PM,25.708,2669.5
296,08.07.22 06:07:09 PM,23.773,1184.0
297,08.07.22 07:07:09 PM,20.996,301.4
298,08.07.22 08:07:09 PM,19.853,301.4
299,08.07.22 09:07:09 PM,18.521,0.0
300,08.07.22 10:07:09 PM,17.189,0.0
301,08.07.22 11:07:09 PM,16.141,0.0
302,08.08.22 12:07:09 AM,15.187,0.0
303,08.08.22 01:07:09 AM,14.613,0.0
304,08.08.22 02:07:09 AM,13.942,0.0
305,08.08.22 03:07:09 AM,13.846,0.0
306,08.08.22 04:07:09 AM,13.173,0.0
307,08.08.22 05:07:09 AM,12.980,0.0
308,08.08.22 06:07:09 AM,13.461,64.6
309,08.08.22 07:07:09 AM,13.750,516.7
310,08.08.22 08:07:09 AM,16.427,1011.8
311,08.08.22 09:07:09 AM,19.092,1636.1
312,08.08.22 10:07:09 AM,22.621,2927.8
313,08.08.22 11:07:09 AM,26.390,6200.0
314,08.08.22 12:07:09 PM,32.911,13089.0
315,08.08.22 01:07:09 PM,26.000,2669.5
316,08.08.22 02:07:09 PM,26.292,9300.1
317,08.08.22 03:07:09 PM,32.394,11022.3
318,08.08.22 04:07:09 PM,28.853,2927.8
319,08.08.22 05:07:09 PM,25.416,1636.1
320,08.08.22 06:07:09 PM,25.902,1808.3
321,08.08.22 07:07:09 PM,26.097,1377.8
322,08.08.22 08:07:09 PM,23.773,441.3
323,08.08.22 09:07:09 PM,21.664,0.0
324,08.08.22 10:07:09 PM,19.853,0.0
325,08.08.22 11:07:09 PM,19.472,0.0
326,08.09.22 12:07:09 AM,18.521,0.0
327,08.09.22 01:07:09 AM,18.616,0.0
328,08.09.22 02:07:09 AM,17.760,0.0
329,08.09.22 03:07:09 AM,18.426,0.0
330,08.09.22 04:07:09 AM,17.950,0.0
331,08.09.22 05:07:09 AM,17.665,0.0
332,08.09.22 06:07:09 AM,17.855,75.3
333,08.09.22 07:07:09 AM,18.521,710.4
334,08.09.22 08:07:09 AM,20.329,1980.6
335,08.09.22 09:07:09 AM,21.187,2238.9
336,08.09.22 10:07:09 AM,23.773,3961.1
337,08.09.22 11:07:09 AM,26.879,7233.4
338,08.09.22 12:07:09 PM,32.704,12400.1
339,08.09.22 01:07:09 PM,31.370,3961.1
340,08.09.22 02:07:09 PM,29.452,2411.1
