"Plot-Titel: WS"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 21047843, SEN S/N: 21047843, LBL: Celsius)","Intensität, Lux (LGR S/N: 21047843, SEN S/N: 21047843, LBL: Lux)"
123,01.03.22 12:46:14 PM,10.748,5338.9
124,01.03.22 01:46:14 PM,10.944,3100.0
125,01.03.22 02:46:14 PM,10.748,4305.6
126,01.03.22 03:46:14 PM,10.748,312.2
127,01.03.22 04:46:14 PM,10.259,0.0
128,01.03.22 05:46:14 PM,9.176,0.0
129,01.03.22 06:46:14 PM,8.779,0.0
130,01.03.22 07:46:14 PM,7.983,0.0
131,01.03.22 08:46:14 PM,7.682,0.0
132,01.03.22 09:46:14 PM,7.582,0.0
133,01.03.22 10:46:14 PM,7.179,0.0
134,01.03.22 11:46:14 PM,7.079,0.0
135,01.04.22 12:46:14 AM,6.775,0.0
136,01.04.22 01:46:14 AM,7.079,0.0
137,01.04.22 02:46:14 AM,6.674,0.0
138,01.04.22 03:46:14 AM,6.268,0.0
139,01.04.22 04:46:14 AM,5.860,0.0
140,01.04.22 05:46:14 AM,5.962,0.0
141,01.04.22 06:46:14 AM,5.655,0.0
142,01.04.22 07:46:14 AM,5.757,0.0
143,01.04.22 08:46:14 AM,6.166,290.6
144,01.04.22 09:46:14 AM,7.079,516.7
145,01.04.22 10:46:14 AM,7.582,904.2
146,01.04.22 11:46:14 AM,7.079,1377.8
147,01.04.22 12:46:14 PM,6.978,1345.5
148,01.04.22 01:46:14 PM,6.978,785.8
149,01.04.22 02:46:14 PM,7.179,871.9
150,01.04.22 03:46:14 PM,6.978,204.5
151,01.04.22 04:46:14 PM,7.079,0.0
152,01.04.22 05:46:14 PM,7.079,0.0
153,01.04.22 06:46:14 PM,7.179,0.0
154,01.04.22 07:46:14 PM,6.573,0.0
155,01.04.22 08:46:14 PM,6.166,0.0
156,01.04.22 09:46:14 PM,5.860,0.0
157,01.04.22 10:46:14 PM,5.655,0.0
158,01.04.22 11:46:14 PM,4.519,0.0
159,01.05.22 12:46:14 AM,3.788,0.0
160,01.05.22 01:46:14 AM,3.788,0.0
161,01.05.22 02:46:14 AM,3.893,0.0
162,01.05.22 03:46:14 AM,4.102,0.0
163,01.05.22 04:46:14 AM,3.893,0.0
164,01.05.22 05:46:14 AM,4.102,0.0
165,01.05.22 06:46:14 AM,3.261,0.0
166,01.05.22 07:46:14 AM,3.578,0.0
167,01.05.22 08:46:14 AM,3.683,366.0
168,01.05.22 09:46:14 AM,3.578,979.5
169,01.05.22 10:46:14 AM,4.623,4477.8
170,01.05.22 11:46:14 AM,4.519,2325.0
171,01.05.22 12:46:14 PM,5.962,8611.2
172,01.05.22 01:46:14 PM,4.831,764.2
173,01.05.22 02:46:14 PM,4.415,355.2
174,01.05.22 03:46:14 PM,3.472,53.8
175,01.05.22 04:46:14 PM,3.472,0.0
176,01.05.22 05:46:14 PM,3.155,0.0
177,01.05.22 06:46:14 PM,3.998,0.0
178,01.05.22 07:46:14 PM,4.207,0.0
179,01.05.22 08:46:14 PM,4.623,0.0
180,01.05.22 09:46:14 PM,4.415,0.0
181,01.05.22 10:46:14 PM,4.207,0.0
182,01.05.22 11:46:14 PM,4.311,0.0
183,01.06.22 12:46:14 AM,3.893,0.0
184,01.06.22 01:46:14 AM,3.683,0.0
185,01.06.22 02:46:14 AM,1.980,0.0
186,01.06.22 03:46:14 AM,2.195,0.0
187,01.06.22 04:46:14 AM,1.548,0.0
188,01.06.22 05:46:14 AM,0.453,0.0
189,01.06.22 06:46:14 AM,-0.437,0.0
190,01.06.22 07:46:14 AM,-0.437,0.0
191,01.06.22 08:46:14 AM,-0.325,645.8
192,01.06.22 09:46:14 AM,0.784,5166.7
193,01.06.22 10:46:14 AM,1.980,4477.8
194,01.06.22 11:46:14 AM,2.410,3788.9
195,01.06.22 12:46:14 PM,2.837,3788.9
196,01.06.22 01:46:14 PM,4.934,10333.4
197,01.06.22 02:46:14 PM,3.261,4477.8
198,01.06.22 03:46:14 PM,1.980,484.4
199,01.06.22 04:46:14 PM,0.010,0.0
200,01.06.22 05:46:14 PM,-1.228,0.0
201,01.06.22 06:46:14 PM,-1.228,0.0
202,01.06.22 07:46:14 PM,0.121,0.0
203,01.06.22 08:46:14 PM,0.121,0.0
204,01.06.22 09:46:14 PM,0.343,0.0
205,01.06.22 10:46:14 PM,-0.213,0.0
206,01.06.22 11:46:14 PM,-0.662,0.0
207,01.07.22 12:46:14 AM,-0.662,0.0
208,01.07.22 01:46:14 AM,-0.887,0.0
209,01.07.22 02:46:14 AM,-0.887,0.0
210,01.07.22 03:46:14 AM,-1.001,0.0
211,01.07.22 04:46:14 AM,-0.887,0.0
212,01.07.22 05:46:14 AM,-0.662,0.0
213,01.07.22 06:46:14 AM,-0.437,0.0
214,01.07.22 07:46:14 AM,-0.437,0.0
215,01.07.22 08:46:14 AM,0.010,430.6
216,01.07.22 09:46:14 AM,0.893,1550.0
217,01.07.22 10:46:14 AM,1.980,3272.2
218,01.07.22 11:46:14 AM,3.472,5166.7
219,01.07.22 12:46:14 PM,3.049,2066.7
220,01.07.22 01:46:14 PM,2.624,1722.2
221,01.07.22 02:46:14 PM,2.410,1194.8
222,01.07.22 03:46:14 PM,1.872,43.1
223,01.07.22 04:46:14 PM,1.548,0.0
224,01.07.22 05:46:14 PM,1.764,0.0
225,01.07.22 06:46:14 PM,1.764,0.0
226,01.07.22 07:46:14 PM,1.764,0.0
227,01.07.22 08:46:14 PM,1.764,0.0
228,01.07.22 09:46:14 PM,1.656,0.0
229,01.07.22 10:46:14 PM,1.548,0.0
230,01.07.22 11:46:14 PM,1.439,0.0
231,01.08.22 12:46:14 AM,0.893,0.0
232,01.08.22 01:46:14 AM,0.784,0.0
233,01.08.22 02:46:14 AM,1.003,0.0
234,01.08.22 03:46:14 AM,1.112,0.0
235,01.08.22 04:46:14 AM,1.439,0.0
236,01.08.22 05:46:14 AM,1.548,0.0
237,01.08.22 06:46:14 AM,1.548,0.0
238,01.08.22 07:46:14 AM,1.764,0.0
239,01.08.22 08:46:14 AM,1.872,452.1
240,01.08.22 09:46:14 AM,1.980,1722.2
241,01.08.22 10:46:14 AM,2.517,4650.0
242,01.08.22 11:46:14 AM,2.943,5166.7
243,01.08.22 12:46:14 PM,2.943,1636.1
244,01.08.22 01:46:14 PM,2.624,2066.7
245,01.08.22 02:46:14 PM,2.943,602.8
246,01.08.22 03:46:14 PM,2.943,107.6
247,01.08.22 04:46:14 PM,2.730,0.0
248,01.08.22 05:46:14 PM,2.837,0.0
249,01.08.22 06:46:14 PM,2.730,0.0
250,01.08.22 07:46:14 PM,2.410,0.0
251,01.08.22 08:46:14 PM,1.548,0.0
252,01.08.22 09:46:14 PM,0.784,0.0
253,01.08.22 10:46:14 PM,0.453,0.0
254,01.08.22 11:46:14 PM,0.343,0.0
255,01.09.22 12:46:14 AM,-0.102,0.0
256,01.09.22 01:46:14 AM,-0.325,0.0
257,01.09.22 02:46:14 AM,-0.213,0.0
258,01.09.22 03:46:14 AM,-0.774,0.0
259,01.09.22 04:46:14 AM,-0.774,0.0
260,01.09.22 05:46:14 AM,-0.774,0.0
261,01.09.22 06:46:14 AM,-0.662,0.0
262,01.09.22 07:46:14 AM,-0.213,0.0
263,01.09.22 08:46:14 AM,0.232,807.3
264,01.09.22 09:46:14 AM,0.674,1463.9
265,01.09.22 10:46:14 AM,1.439,1463.9
266,01.09.22 11:46:14 AM,2.624,4305.6
267,01.09.22 12:46:14 PM,3.155,3272.2
268,01.09.22 01:46:14 PM,3.683,2669.5
269,01.09.22 02:46:14 PM,3.261,1044.1
270,01.09.22 03:46:14 PM,3.155,344.4
271,01.09.22 04:46:14 PM,3.049,0.0
272,01.09.22 05:46:14 PM,3.049,0.0
273,01.09.22 06:46:14 PM,3.049,0.0
274,01.09.22 07:46:14 PM,3.049,0.0
275,01.09.22 08:46:14 PM,3.049,0.0
276,01.09.22 09:46:14 PM,3.155,0.0
277,01.09.22 10:46:14 PM,3.367,0.0
278,01.09.22 11:46:14 PM,3.472,0.0
279,01.10.22 12:46:14 AM,3.578,0.0
280,01.10.22 01:46:14 AM,3.893,0.0
281,01.10.22 02:46:14 AM,4.415,0.0
282,01.10.22 03:46:14 AM,4.311,0.0
283,01.10.22 04:46:14 AM,4.311,0.0
284,01.10.22 05:46:14 AM,4.415,0.0
285,01.10.22 06:46:14 AM,4.311,0.0
286,01.10.22 07:46:14 AM,4.415,0.0
287,01.10.22 08:46:14 AM,4.207,118.4
288,01.10.22 09:46:14 AM,4.727,549.0
289,01.10.22 10:46:14 AM,4.727,581.3
290,01.10.22 11:46:14 AM,4.727,775.0
291,01.10.22 12:46:14 PM,5.141,1980.6
292,01.10.22 01:46:14 PM,5.037,1463.9
293,01.10.22 02:46:14 PM,3.998,731.9
294,01.10.22 03:46:14 PM,2.624,226.0
295,01.10.22 04:46:14 PM,1.764,0.0
296,01.10.22 05:46:14 PM,0.784,0.0
297,01.10.22 06:46:14 PM,0.232,0.0
298,01.10.22 07:46:14 PM,-0.437,0.0
299,01.10.22 08:46:14 PM,-0.887,0.0
300,01.10.22 09:46:14 PM,-1.114,0.0
301,01.10.22 10:46:14 PM,-1.341,0.0
302,01.10.22 11:46:14 PM,-1.799,0.0
303,01.11.22 12:46:14 AM,-2.261,0.0
304,01.11.22 01:46:14 AM,-2.727,0.0
305,01.11.22 02:46:14 AM,-2.727,0.0
306,01.11.22 03:46:14 AM,-2.844,0.0
307,01.11.22 04:46:14 AM,-2.727,0.0
308,01.11.22 05:46:14 AM,-2.610,0.0
309,01.11.22 06:46:14 AM,-2.494,0.0
