"Plot-Titel: KLG"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309858, SEN S/N: 21309858, LBL: °C)","Intensität, Lux (LGR S/N: 21309858, SEN S/N: 21309858, LBL: Lux)"
105,07.31.22 12:23:41 AM,20.234,0.0
106,07.31.22 01:23:41 AM,19.187,0.0
107,07.31.22 02:23:41 AM,18.140,0.0
108,07.31.22 03:23:41 AM,17.855,0.0
109,07.31.22 04:23:41 AM,17.189,0.0
110,07.31.22 05:23:41 AM,17.094,193.8
111,07.31.22 06:23:41 AM,20.996,19289.0
112,07.31.22 07:23:41 AM,25.513,33066.9
113,07.31.22 08:23:41 AM,28.060,38578.0
114,07.31.22 09:23:41 AM,29.252,41333.6
115,07.31.22 10:23:41 AM,30.054,38578.0
116,07.31.22 11:23:41 AM,31.268,34444.7
117,07.31.22 12:23:41 PM,31.983,33066.9
118,07.31.22 01:23:41 PM,32.911,33066.9
119,07.31.22 02:23:41 PM,32.188,30311.3
120,07.31.22 03:23:41 PM,33.953,31689.1
121,07.31.22 04:23:41 PM,31.574,30311.3
122,07.31.22 05:23:41 PM,34.479,28933.5
123,07.31.22 06:23:41 PM,28.853,6544.5
124,07.31.22 07:23:41 PM,28.853,3788.9
125,07.31.22 08:23:41 PM,26.683,355.2
126,07.31.22 09:23:41 PM,26.097,0.0
127,07.31.22 10:23:41 PM,25.319,0.0
128,07.31.22 11:23:41 PM,25.125,0.0
129,08.01.22 12:23:41 AM,23.484,0.0
130,08.01.22 01:23:41 AM,22.333,0.0
131,08.01.22 02:23:41 AM,21.282,0.0
132,08.01.22 03:23:41 AM,20.615,0.0
133,08.01.22 04:23:41 AM,20.138,0.0
134,08.01.22 05:23:41 AM,19.662,150.7
135,08.01.22 06:23:41 AM,19.948,1141.0
136,08.01.22 07:23:41 AM,19.853,1980.6
137,08.01.22 08:23:41 AM,21.282,4133.4
138,08.01.22 09:23:41 AM,21.569,4650.0
139,08.01.22 10:23:41 AM,21.091,1377.8
140,08.01.22 11:23:41 AM,22.812,5338.9
141,08.01.22 12:23:41 PM,23.100,9644.5
142,08.01.22 01:23:41 PM,24.158,11711.2
143,08.01.22 02:23:41 PM,25.513,22044.6
144,08.01.22 03:23:41 PM,25.319,4133.4
145,08.01.22 04:23:41 PM,25.222,13089.0
146,08.01.22 05:23:41 PM,24.545,4305.6
147,08.01.22 06:23:41 PM,26.585,11711.2
148,08.01.22 07:23:41 PM,24.448,5338.9
149,08.01.22 08:23:41 PM,23.773,2927.8
150,08.01.22 09:23:41 PM,22.812,0.0
151,08.01.22 10:23:41 PM,21.855,0.0
152,08.01.22 11:23:41 PM,20.996,0.0
153,08.02.22 12:23:41 AM,20.234,0.0
154,08.02.22 01:23:41 AM,19.567,0.0
155,08.02.22 02:23:41 AM,19.472,0.0
156,08.02.22 03:23:41 AM,18.901,0.0
157,08.02.22 04:23:41 AM,18.806,0.0
158,08.02.22 05:23:41 AM,18.806,118.4
159,08.02.22 06:23:41 AM,20.710,13777.9
160,08.02.22 07:23:41 AM,20.138,7577.8
161,08.02.22 08:23:41 AM,28.754,41333.6
162,08.02.22 09:23:41 AM,28.555,28933.5
163,08.02.22 10:23:41 AM,28.853,15155.7
164,08.02.22 11:23:41 AM,30.154,39955.8
165,08.02.22 12:23:41 PM,27.468,11711.2
