"Plot-Titel: VG"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309856, SEN S/N: 21309856, LBL: Celsius)","Intensität, Lux (LGR S/N: 21309856, SEN S/N: 21309856, LBL: Lux)"
106,04.15.22 09:07:44 PM,6.674,0.0
107,04.15.22 10:07:44 PM,6.370,0.0
108,04.15.22 11:07:44 PM,6.166,0.0
109,04.16.22 12:07:44 AM,5.552,0.0
110,04.16.22 01:07:44 AM,4.102,0.0
111,04.16.22 02:07:44 AM,3.261,0.0
112,04.16.22 03:07:44 AM,2.943,0.0
113,04.16.22 04:07:44 AM,2.624,0.0
114,04.16.22 05:07:44 AM,2.837,0.0
115,04.16.22 06:07:44 AM,2.837,96.9
116,04.16.22 07:07:44 AM,3.367,1636.1
117,04.16.22 08:07:44 AM,4.311,4305.6
118,04.16.22 09:07:44 AM,6.674,34444.7
119,04.16.22 10:07:44 AM,8.879,19289.0
120,04.16.22 11:07:44 AM,14.325,37200.2
121,04.16.22 12:07:44 PM,15.091,33066.9
122,04.16.22 01:07:44 PM,16.427,31689.1
123,04.16.22 02:07:44 PM,17.570,30311.3
124,04.16.22 03:07:44 PM,17.570,28933.5
125,04.16.22 04:07:44 PM,17.284,26178.0
126,04.16.22 05:07:44 PM,17.760,24800.2
127,04.16.22 06:07:44 PM,12.013,1722.2
128,04.16.22 07:07:44 PM,11.236,1087.2
129,04.16.22 08:07:44 PM,10.063,258.3
130,04.16.22 09:07:44 PM,8.581,0.0
131,04.16.22 10:07:44 PM,7.481,0.0
132,04.16.22 11:07:44 PM,6.268,0.0
133,04.17.22 12:07:44 AM,5.757,0.0
134,04.17.22 01:07:44 AM,5.244,0.0
135,04.17.22 02:07:44 AM,4.934,0.0
136,04.17.22 03:07:44 AM,4.831,0.0
137,04.17.22 04:07:44 AM,4.102,0.0
138,04.17.22 05:07:44 AM,2.837,0.0
139,04.17.22 06:07:44 AM,2.303,258.3
140,04.17.22 07:07:44 AM,4.831,11022.3
141,04.17.22 08:07:44 AM,9.669,17911.2
142,04.17.22 09:07:44 AM,13.076,30311.3
143,04.17.22 10:07:44 AM,13.846,22044.6
144,04.17.22 11:07:44 AM,18.236,35822.5
145,04.17.22 12:07:44 PM,16.618,30311.3
146,04.17.22 01:07:44 PM,19.282,23422.4
147,04.17.22 02:07:44 PM,20.424,30311.3
148,04.17.22 03:07:44 PM,21.282,28933.5
149,04.17.22 04:07:44 PM,20.901,26178.0
150,04.17.22 05:07:44 PM,19.377,21355.7
151,04.17.22 06:07:44 PM,14.325,1722.2
152,04.17.22 07:07:44 PM,13.461,1022.6
153,04.17.22 08:07:44 PM,12.110,183.0
154,04.17.22 09:07:44 PM,10.651,0.0
155,04.17.22 10:07:44 PM,9.669,0.0
156,04.17.22 11:07:44 PM,8.779,0.0
157,04.18.22 12:07:44 AM,7.882,0.0
158,04.18.22 01:07:44 AM,7.280,0.0
159,04.18.22 02:07:44 AM,6.064,0.0
160,04.18.22 03:07:44 AM,5.860,0.0
161,04.18.22 04:07:44 AM,5.655,0.0
162,04.18.22 05:07:44 AM,5.347,0.0
163,04.18.22 06:07:44 AM,4.831,333.7
164,04.18.22 07:07:44 AM,6.166,10677.8
165,04.18.22 08:07:44 AM,10.357,24800.2
166,04.18.22 09:07:44 AM,13.558,31689.1
167,04.18.22 10:07:44 AM,16.237,35822.5
168,04.18.22 11:07:44 AM,18.521,34444.7
169,04.18.22 12:07:44 PM,19.472,33066.9
170,04.18.22 01:07:44 PM,19.853,28933.5
171,04.18.22 02:07:44 PM,20.138,27555.7
172,04.18.22 03:07:44 PM,21.760,26178.0
173,04.18.22 04:07:44 PM,20.519,24800.2
174,04.18.22 05:07:44 PM,20.996,18600.1
175,04.18.22 06:07:44 PM,15.378,2411.1
176,04.18.22 07:07:44 PM,14.517,1808.3
177,04.18.22 08:07:44 PM,13.173,118.4
178,04.18.22 09:07:44 PM,11.819,0.0
179,04.18.22 10:07:44 PM,10.063,0.0
180,04.18.22 11:07:44 PM,8.481,0.0
181,04.19.22 12:07:44 AM,7.481,0.0
182,04.19.22 01:07:44 AM,6.573,0.0
183,04.19.22 02:07:44 AM,6.268,0.0
184,04.19.22 03:07:44 AM,5.860,0.0
185,04.19.22 04:07:44 AM,5.347,0.0
186,04.19.22 05:07:44 AM,5.141,0.0
187,04.19.22 06:07:44 AM,4.623,269.1
188,04.19.22 07:07:44 AM,6.573,16533.4
189,04.19.22 08:07:44 AM,9.077,22044.6
190,04.19.22 09:07:44 AM,12.013,28933.5
191,04.19.22 10:07:44 AM,14.996,37200.2
192,04.19.22 11:07:44 AM,16.046,34444.7
193,04.19.22 12:07:44 PM,18.140,35822.5
194,04.19.22 01:07:44 PM,16.999,37200.2
195,04.19.22 02:07:44 PM,15.187,11711.2
196,04.19.22 03:07:44 PM,14.900,8611.2
197,04.19.22 04:07:44 PM,17.379,10333.4
198,04.19.22 05:07:44 PM,16.999,7233.4
199,04.19.22 06:07:44 PM,13.558,3100.0
200,04.19.22 07:07:44 PM,12.980,1550.0
201,04.19.22 08:07:44 PM,12.110,290.6
202,04.19.22 09:07:44 PM,10.944,0.0
203,04.19.22 10:07:44 PM,10.553,0.0
204,04.19.22 11:07:44 PM,9.571,0.0
205,04.20.22 12:07:44 AM,8.282,0.0
206,04.20.22 01:07:44 AM,7.582,0.0
207,04.20.22 02:07:44 AM,7.682,0.0
208,04.20.22 03:07:44 AM,7.280,0.0
209,04.20.22 04:07:44 AM,6.978,0.0
210,04.20.22 05:07:44 AM,6.978,0.0
211,04.20.22 06:07:44 AM,6.877,53.8
212,04.20.22 07:07:44 AM,9.373,15155.7
213,04.20.22 08:07:44 AM,9.768,5166.7
214,04.20.22 09:07:44 AM,10.651,9300.1
215,04.20.22 10:07:44 AM,12.401,18600.1
216,04.20.22 11:07:44 AM,11.625,6544.5
